id,rating,pop,desc,director,writer,star
431,7.1|140K,966|down|5,"An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize"".",Russell Mulcahy,Gregory Widen|Peter Bellwood|Larry Ferguson,Christopher Lambert|Sean Connery|Clancy Brown
432,7.7|99K,,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",James Algar|Samuel Armstrong|Ford Beebe Jr.,Joe Grant|Dick Huemer|Lee Blair,Leopold Stokowski|Deems Taylor|The Philadelphia Orchestra
433,,,,,,
434,7.5|51K,"3,205|up|489","A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.",Fred M. Wilcox,Cyril Hume|Irving Block|Allen Adler,Walter Pidgeon|Anne Francis|Leslie Nielsen
435,8.0|220K,"712|up|1,541","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,William Goldman,Paul Newman|Robert Redford|Katharine Ross
436,7.5|112K,"1,919|down|13",Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.,John Landis,John Landis,David Naughton|Jenny Agutter|Joe Belcher
437,4.7|3.2K,,"An architect brings home a mysterious old clock, not knowing that it's haunted by the demonic presence of the Amityville house. Soon, the clock begins to alter time and space and starts to possess members of the household.",Tony Randel,John G. Jones|Christopher DeFaria|Antonio Toro,Stephen Macht|Shawn Weatherly|Megan Ward
438,4.2|7K,,"A reporter moves into the Amityville house in defiance of the supernatural events connected to it, and finds everyone around him besieged by the evil manifestations which are connected to a demonic presence in the basement.",Richard Fleischer,David Ambrose,Tony Roberts|Tess Harper|Robert Joy
439,3.9|2.3K,,"An old mirror from the Amityville house finds its way into a young photographer's home, where the demonic presence soon manifests itself to cause more death and mayhem.",John Murlowski,Christopher DeFaria|Antonio Toro,Ross Partridge|Julia Nickson|Lala Sloatman
440,5.5|12K,,"A dysfunctional family moves into a new house, which proves to be satanic, resulting in the demonic possession of their teenage son.",Damiano Damiani,Tommy Lee Wallace|Hans Holzer|Dardano Sacchetti,James Olson|Burt Young|Rutanya Alda
441,6.1|41K,,"Newlyweds and their three children move into a large house where a mass murder was committed. They start to experience strange, inexplicable manifestations which have strong effects on everyone living in or visiting the house.",Stuart Rosenberg,Sandor Stern|Jay Anson|George Lutz,James Brolin|Margot Kidder|Rod Steiger
442,,,,,,
443,7.6|195K,243|up|102,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Alfred Hitchcock,Daphne Du Maurier|Evan Hunter,Rod Taylor|Tippi Hedren|Jessica Tandy
444,6.3|28K,,An alien lifeform consumes everything in its path as it grows and grows.,Irvin S. Yeaworth Jr.|Russell S. Doughten Jr.,Theodore Simonson|Kay Linaker|Irvine H. Millgate,Steve McQueen|Aneta Corsaut|Earl Rowe
445,7.3|9.7K,,A ruthless doctor and his young prize student find themselves continually harassed by their murderous supplier of illegal cadavers.,Robert Wise,Robert Louis Stevenson|Philip MacDonald|Val Lewton,Boris Karloff|Bela Lugosi|Henry Daniell
446,6.4|13K,,A family moves into a large old mansion in the countryside which seems to have a mysterious and sinister power over its new residents.,Dan Curtis,Robert Marasco|William F. Nolan|Dan Curtis,Karen Black|Oliver Reed|Burgess Meredith
447,7.4|194K,"1,147|down|229","Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",Brian De Palma,Stephen King|Lawrence D. Cohen,Sissy Spacek|Piper Laurie|Amy Irving
448,7.5|124K,"3,063|up|317",Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?,Richard Donner,David Seltzer,Gregory Peck|Lee Remick|Harvey Stephens
449,6.4|93K,"3,159|down|55","When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.",Robert Wise,Gene Roddenberry|Harold Livingston|Alan Dean Foster,William Shatner|Leonard Nimoy|DeForest Kelley
450,5.5|62K,,Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.,William Shatner,Gene Roddenberry|William Shatner|Harve Bennett,William Shatner|Leonard Nimoy|DeForest Kelley
451,7.2|285K,230|up|71,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",Randal Kleiser,Jim Jacobs|Warren Casey|Bronte Woodard,John Travolta|Olivia Newton-John|Stockard Channing
452,5.8|80K,"3,451|up|560",Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,Jeannot Szwarc,Peter Benchley|Carl Gottlieb|Howard Sackler,Roy Scheider|Lorraine Gary|Murray Hamilton
453,3.7|46K,"4,239|up|882",A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.,Joe Alves,Peter Benchley|Richard Matheson|Carl Gottlieb,Dennis Quaid|Bess Armstrong|Simon MacCorkindale
454,7.3|4.6K,"1,990|up|3,242",A mother and daughter find their lives adversely affected when a new man enters the picture. Will their family ever be what they expect?,Anjelica Huston,Dorothy Allison|Anne Meredith,Jennifer Jason Leigh|Ron Eldard|Glenne Headly
455,6.6|22K,,This fourth installment of Chan's Police Story film franchise has our hero trying to locate a missing nuclear warhead.,Stanley Tong,Greg Mellott|Elliot Tong|Stanley Tong,Jackie Chan|Jackson Lou|Annie Wu
456,5.5|43K,,A man tries to rescue a woman with a little help from his half brother.,Dennis Dugan,Mark Feldberg|Mitchell Klebanoff,Chris Farley|Nicollette Sheridan|Robin Shou
457,4.7|10K,,16-year-old Jesse and old friend Randolph try to foil an illegal whaler threatening Willy and his pregnant mate.,Sam Pillsbury,John Mattson|Keith Walker,Jason James Richter|August Schellenberg|Annie Corley
458,7.1|32K,,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",Oliver Stone,Stephen J. Rivele|Christopher Wilkinson|Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe
459,6.8|1.9K,,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,Ronald Harwood|Alan Paton,Richard Harris|James Earl Jones|Vusi Kunene
460,6.3|14K,,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,Sean Penn,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston
461,7.4|37K,,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",Wayne Wang,Paul Auster,Harvey Keitel|William Hurt|Giancarlo Esposito
462,7.1|18K,,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking.",Alfonso Arau,Laura Esquivel,Marco Leonardi|Lumi Cavazos|Regina Torné
463,7.4|9.5K,,Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.,John Sayles,Rosalie K. Fry|John Sayles,Jeni Courtney|Eileen Colgan|Mick Lally
464,7.4|4.9K,,"New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre.",Louis Malle,Anton Chekhov|David Mamet|Andre Gregory,Wallace Shawn|Phoebe Brand|George Gaynes
465,6.0|18K,,"Rudyard Kipling's classic tale of Mowgli, the orphaned jungle boy raised by wild animals, and how he becomes king of the jungle.",Stephen Sommers,Rudyard Kipling|Ron Yanover|Mark Geldman,Jason Scott Lee|Cary Elwes|Lena Headey
466,7.0|24K,,"Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.",John Dahl,John Dahl|Rick Dahl,Nicolas Cage|Dennis Hopper|Lara Flynn Boyle
467,7.8|147K,"1,272|down|466",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Robert De Niro,Chazz Palminteri,Robert De Niro|Chazz Palminteri|Lillo Brancato
468,7.5|66K,"4,781|down|703",Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,David Anspaugh,Angelo Pizzo,Sean Astin|Jon Favreau|Ned Beatty
469,7.7|46K,,The day-to-day lives of several suburban Los Angeles residents.,Robert Altman,Raymond Carver|Robert Altman|Frank Barhydt,Andie MacDowell|Julianne Moore|Tim Robbins
470,,,,,,
471,6.6|57K,"4,614|up|341","A U.S. Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor.",Edward Zwick,Patrick Sheane Duncan,Denzel Washington|Meg Ryan|Lou Diamond Phillips
472,6.4|99K,"4,375|down|164","The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.",Rob Cohen,Patrick Read Johnson|Charles Edward Pogue,Dennis Quaid|Sean Connery|Dina Meyer
473,6.7|70K,"4,204|down|107","An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.",Henry Selick,Roald Dahl|Karey Kirkpatrick|Jonathan Roberts,Paul Terry|Joanna Lumley|Pete Postlethwaite
474,8.4|498K,"1,294|up|13","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,Stanley Kubrick|Terry Southern|Peter George,Peter Sellers|George C. Scott|Sterling Hayden
475,8.1|698K,642|down|16,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,Irvine Welsh|John Hodge,Ewan McGregor|Ewen Bremner|Jonny Lee Miller
476,6.4|51K,"4,501|up|423","Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",Hugh Wilson,Olivia Goldsmith|Robert Harling,Goldie Hawn|Bette Midler|Diane Keaton
477,7.0|162K,116|up|118,"A girl gifted with a keen intellect and psychic powers uses both to deal with her crude, distant family and free her kind teacher from their sadistic headmistress.",Danny DeVito,Roald Dahl|Nicholas Kazan|Robin Swicord,Danny DeVito|Rhea Perlman|Mara Wilson
478,7.9|71K,"4,937|down|602","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",George Cukor,Donald Ogden Stewart|Philip Barry|Waldo Salt,Cary Grant|Katharine Hepburn|James Stewart
479,8.3|409K,"1,621|down|195","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,Alec Coppel|Samuel A. Taylor|Pierre Boileau,James Stewart|Kim Novak|Barbara Bel Geddes
480,8.3|333K,"1,933|down|19","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,Ernest Lehman,Cary Grant|Eva Marie Saint|James Mason
481,8.3|186K,"3,243|up|21","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,Billy Wilder|I.A.L. Diamond,Jack Lemmon|Shirley MacLaine|Fred MacMurray
482,8.2|272K,"1,787|down|67","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,Billy Wilder|I.A.L. Diamond|Robert Thoeren,Marilyn Monroe|Tony Curtis|Jack Lemmon
483,8.5|581K,236|up|540,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,Julius J. Epstein|Philip G. Epstein|Howard Koch,Humphrey Bogart|Ingrid Bergman|Paul Henreid
484,8.0|162K,916|up|547,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",John Huston,John Huston|Dashiell Hammett,Humphrey Bogart|Mary Astor|Gladys George
485,7.8|98K,"2,971|up|42","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.",George Cukor,Alan Jay Lerner|George Bernard Shaw,Audrey Hepburn|Rex Harrison|Stanley Holloway
486,7.6|67K,"4,636|down|76","A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Billy Wilder,Billy Wilder|Samuel A. Taylor|Ernest Lehman,Humphrey Bogart|Audrey Hepburn|William Holden
487,8.0|142K,"2,399|up|811",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,William Wyler,Dalton Trumbo|Ian McLellan Hunter|John Dighton,Gregory Peck|Audrey Hepburn|Eddie Albert
488,8.4|226K,"2,335|down|239",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,Charles Brackett|Billy Wilder|D.M. Marshman Jr.,William Holden|Gloria Swanson|Erich von Stroheim
489,7.9|103K,"4,379|up|288",The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,Alfred Hitchcock,Ben Hecht|Alfred Hitchcock|John Taintor Foote,Cary Grant|Ingrid Bergman|Claude Rains
